,Model Name,Dataset,Subset ID,Is Filtered,Sensitive Feature,ndcg@5,recall@5,mrr@5,Differential Fairness of sensitive attribute,giniindex@5,popularitypercentage@5,Value Unfairness of sensitive attribute,Absolute Unfairness of sensitive attribute,Underestimation Unfairness of sensitive attribute,Overestimation Unfairness of sensitive attribute,NonParity Unfairness of sensitive attribute,Absolute Difference,KS Statistic of sensitive attribute,Generalized Cross Entropy,hit@5,Number of Users,Number of Items,Number of Ratings,Space Size,Shape,Density,Rating per User,Rating per Item,Gini Item,Gini User,Average Popularity,Standart Deviation of Popularity Bias,Skewness of Popularity Bias,Kurtosis of Popularity Bias,Average Long Tail Items,Standart Deviation of Long Tail Items,Skewness of Long Tail Items,Kurtosis of Long Tail Items,Mean Rating,Standart Deviation of Rating,Skewness of Rating,Kurtosis of Rating,Sensitive Attribute == 0 Percentage,Sensitive Attribute == 1 Percentage,Difference between Sensitive Attribute Percentage
0,FOCF,ml1m,1,Yes,Age,0.229,0.272,0.29,3.243,0.951,0.922,0.2661052631578947,0.19636842105263158,0.1695263157894737,0.046,0.024,0.024,0.153,-0.339,0.491,273,1122,11957,306306,0.243,0.039,43.799,10.657,0.585,0.556,0.123,0.047,0.425,1.323,0.249,0.163,1.674,2.563,3.492,1.172,-0.521,-0.467,23.81,76.19,52.38
1,FairGo_PMF,ml1m,1,Yes,Age,0.038,0.045,0.047,3.473,0.873,0.1,0.40963157894736846,0.3407368421052631,0.18110526315789474,0.147,0.015,0.015,0.051,-0.322,0.088,273,1122,11957,306306,0.243,0.039,43.799,10.657,0.585,0.556,0.123,0.047,0.425,1.323,0.249,0.163,1.674,2.563,3.492,1.172,-0.521,-0.467,23.81,76.19,52.38
2,NFCF,ml1m,1,Yes,Age,0.046,0.054,0.064,4.528,0.938,0.203,0.3722631578947369,0.3225263157894737,0.04336842105263158,0.343,0.001,0.001,0.061,-0.311,0.11,273,1122,11957,306306,0.243,0.039,43.799,10.657,0.585,0.556,0.123,0.047,0.425,1.323,0.249,0.163,1.674,2.563,3.492,1.172,-0.521,-0.467,23.81,76.19,52.38
3,PFCN_MLP,ml1m,1,Yes,Age,0.189,0.204,0.248,4.242,0.955,0.807,0.30636842105263157,0.23863157894736844,0.07294736842105265,0.203,0.017,0.017,0.095,-0.318,0.385,273,1122,11957,306306,0.243,0.039,43.799,10.657,0.585,0.556,0.123,0.047,0.425,1.323,0.249,0.163,1.674,2.563,3.492,1.172,-0.521,-0.467,23.81,76.19,52.38
4,FOCF,ml1m,1,Yes,Gender,0.24,0.282,0.291,3.394,0.952,0.913,0.26163157894736844,0.19289473684210526,0.17136842105263156,0.133,0.018,0.018,0.073,-0.142,0.483,273,1122,11957,306306,0.243,0.039,43.799,10.657,0.585,0.556,0.123,0.047,0.425,1.323,0.249,0.163,1.674,2.563,3.492,1.172,-0.521,-0.467,23.81,76.19,52.38
5,FairGo_PMF,ml1m,1,Yes,Gender,0.026,0.035,0.029,3.234,0.877,0.103,0.4022631578947368,0.332421052631579,0.18089473684210525,0.162,0.016,0.016,0.042,-0.126,0.062,273,1122,11957,306306,0.243,0.039,43.799,10.657,0.585,0.556,0.123,0.047,0.425,1.323,0.249,0.163,1.674,2.563,3.492,1.172,-0.521,-0.467,23.81,76.19,52.38
6,NFCF,ml1m,1,Yes,Gender,0.083,0.089,0.112,3.937,0.931,0.418,0.3592105263157895,0.3104736842105263,0.04005263157894737,0.319,0.042,0.042,0.151,-0.146,0.191,273,1122,11957,306306,0.243,0.039,43.799,10.657,0.585,0.556,0.123,0.047,0.425,1.323,0.249,0.163,1.674,2.563,3.492,1.172,-0.521,-0.467,23.81,76.19,52.38
7,PFCN_MLP,ml1m,1,Yes,Gender,0.196,0.231,0.238,3.699,0.958,0.894,0.2994736842105263,0.23305263157894737,0.07431578947368422,0.217,0.007,0.007,0.059,-0.137,0.403,273,1122,11957,306306,0.243,0.039,43.799,10.657,0.585,0.556,0.123,0.047,0.425,1.323,0.249,0.163,1.674,2.563,3.492,1.172,-0.521,-0.467,23.81,76.19,52.38
8,FOCF,ml1m,2,Yes,Age,0.27,0.297,0.338,2.649,0.958,0.988,0.241,0.172,0.166,0.075,0.012,0.012,0.049,-0.235,0.516,1622,1196,66286,1939912,1.356,0.034,40.867,55.423,0.637,0.534,0.132,0.051,0.288,0.471,0.228,0.143,2.056,6.095,3.601,1.123,-0.583,-0.323,19.79,80.21,60.42
9,FairGo_PMF,ml1m,2,Yes,Age,0.039,0.051,0.047,3.306,0.856,0.119,0.388,0.321,0.169,0.219,0.005,0.005,0.013,-0.231,0.093,1622,1196,66286,1939912,1.356,0.034,40.867,55.423,0.637,0.534,0.132,0.051,0.288,0.471,0.228,0.143,2.056,6.095,3.601,1.123,-0.583,-0.323,19.79,80.21,60.42
