Dataset,Subset ID,Is Filtered,Number of Users,Number of Items,Number of Ratings,Space Size,Shape,Density,Rating per User,Rating per Item,Gini Item,Gini User,Average Popularity,Standart Deviation of Popularity Bias,Skewness of Popularity Bias,Kurtosis of Popularity Bias,Average Long Tail Items,Standart Deviation of Long Tail Items,Skewness of Long Tail Items,Kurtosis of Long Tail Items,Mean Rating,Standart Deviation of Rating,Skewness of Rating,Kurtosis of Rating,Sensitive Attribute == 0 Percentage,Sensitive Attribute == 1 Percentage,Difference between Sensitive Attribute Percentage
BX,1,Yes,5426,3142,69131,17048492,1.727,0.004,12.741,22.002,0.426,0.631,0.013,0.013,4.652,35.364,0.315,0.202,1.576,2.843,1.992,1.529,1.035,-0.689,39.46,60.54,21.08
BX,2,Yes,3833,4114,61846,15768962,0.932,0.004,16.135,15.033,0.457,0.618,0.011,0.007,1.734,6.089,0.28,0.175,1.878,4.524,2.005,1.534,1.013,-0.737,39.79,60.21,20.42
BX,3,Yes,2490,3455,36718,8602950,0.721,0.004,14.746,10.627,0.456,0.636,0.015,0.012,2.648,12.648,0.297,0.191,1.791,3.828,2.029,1.547,0.98,-0.806,39.16,60.84,21.68
BX,4,Yes,5839,3498,84351,20424822,1.669,0.004,14.446,24.114,0.436,0.63,0.015,0.013,2.9,14.449,0.301,0.194,1.673,3.245,1.997,1.531,1.027,-0.708,39.48,60.52,21.04
BX,5,Yes,5510,5813,132722,32029630,0.948,0.004,24.087,22.832,0.446,0.626,0.012,0.007,2.173,13.278,0.251,0.146,1.736,4.651,2.013,1.539,1.001,-0.763,39.11,60.89,21.78
BX,6,Yes,230,1513,2847,347990,0.152,0.008,12.378,1.882,0.347,0.572,0.014,0.007,1.484,3.467,0.296,0.169,1.251,2.567,1.942,1.506,1.117,-0.506,38.26,61.74,23.48
BX,7,Yes,5559,2722,63151,15131598,2.042,0.004,11.36,23.2,0.444,0.625,0.011,0.007,1.896,6.259,0.325,0.216,1.58,2.45,2.009,1.541,1.01,-0.748,39.27,60.73,21.46
BX,8,Yes,5332,4507,97542,24031324,1.183,0.004,18.294,21.642,0.446,0.63,0.012,0.008,2.27,11.616,0.268,0.163,1.829,4.808,2.009,1.542,1.01,-0.749,39.55,60.45,20.9
BX,9,Yes,1107,5456,24976,6039792,0.203,0.004,22.562,4.578,0.463,0.624,0.012,0.007,2.346,10.47,0.259,0.148,1.459,3.307,1.987,1.529,1.042,-0.679,40.2,59.8,19.6
BX,10,Yes,274,2623,4958,718702,0.104,0.007,18.095,1.89,0.359,0.604,0.014,0.006,1.144,1.816,0.27,0.166,1.939,5.977,2.031,1.548,0.972,-0.825,39.05,60.95,21.9
BX,11,Yes,5149,5914,121215,30451186,0.871,0.004,23.541,20.496,0.44,0.627,0.011,0.006,1.403,3.73,0.252,0.147,1.701,4.35,1.99,1.528,1.035,-0.691,39.77,60.23,20.46
BX,12,Yes,3266,3633,46921,11865378,0.899,0.004,14.367,12.915,0.453,0.623,0.011,0.007,2.119,8.658,0.299,0.189,1.662,3.303,2.009,1.544,1.013,-0.746,39.13,60.87,21.74
BX,13,Yes,4952,2793,57205,13830936,1.773,0.004,11.552,20.482,0.436,0.633,0.011,0.008,2.235,8.425,0.324,0.211,1.552,2.505,1.995,1.53,1.026,-0.712,38.65,61.35,22.7
BX,14,Yes,2311,5932,56473,13708852,0.39,0.004,24.437,9.52,0.47,0.624,0.014,0.008,2.133,10.968,0.255,0.148,1.692,4.425,1.967,1.522,1.078,-0.603,39.03,60.97,21.94
BX,15,Yes,5306,4070,88014,21595420,1.304,0.004,16.588,21.625,0.437,0.633,0.011,0.007,2.039,8.846,0.282,0.178,1.828,4.326,1.999,1.527,1.018,-0.723,39.24,60.76,21.52
BX,16,Yes,5175,5093,108871,26356275,1.016,0.004,21.038,21.377,0.438,0.63,0.012,0.007,1.963,7.168,0.257,0.152,1.884,5.465,2.007,1.537,1.012,-0.74,39.38,60.62,21.24
BX,17,Yes,2692,5939,62592,15987788,0.453,0.004,23.251,10.539,0.476,0.603,0.011,0.006,1.347,3.463,0.251,0.142,1.589,3.788,2.023,1.541,0.985,-0.791,38.86,61.14,22.28
BX,18,Yes,4645,3971,75616,18445295,1.17,0.004,16.279,19.042,0.447,0.624,0.012,0.007,1.698,6.076,0.281,0.178,1.784,4.083,2.025,1.541,0.98,-0.803,39.48,60.52,21.04
BX,19,Yes,2553,4245,43830,10837485,0.601,0.004,17.168,10.325,0.448,0.636,0.011,0.006,1.856,7.093,0.281,0.175,1.835,4.521,2.037,1.547,0.962,-0.839,40.46,59.54,19.08
BX,20,Yes,3202,3464,45337,11091728,0.924,0.004,14.159,13.088,0.449,0.631,0.01,0.006,1.603,5.247,0.299,0.196,1.766,3.606,2.016,1.539,0.995,-0.774,39.76,60.24,20.48
BX,21,Yes,884,3303,14194,2919852,0.268,0.005,16.057,4.297,0.478,0.637,0.015,0.011,4.967,45.609,0.289,0.172,1.653,3.84,2.086,1.555,0.876,-0.994,37.9,62.1,24.2
BX,22,Yes,2527,4576,46511,11563552,0.552,0.004,18.406,10.164,0.472,0.621,0.012,0.007,1.34,2.941,0.268,0.158,1.882,5.24,1.994,1.533,1.034,-0.695,39.85,60.15,20.3
BX,23,Yes,2026,5190,45533,10514940,0.39,0.004,22.474,8.773,0.467,0.632,0.014,0.009,2.213,9.217,0.259,0.15,1.671,3.857,2.026,1.531,0.97,-0.811,39.09,60.91,21.82
BX,24,Yes,1550,3612,23864,5598600,0.429,0.004,15.396,6.607,0.474,0.62,0.012,0.008,1.842,6.148,0.283,0.181,1.83,4.219,2.011,1.541,1.004,-0.763,39.29,60.71,21.42
BX,25,Yes,110,1511,2396,166210,0.073,0.014,21.782,1.586,0.285,0.665,0.024,0.009,1.084,1.515,0.251,0.145,2.368,8.806,1.889,1.449,1.191,-0.273,49.09,50.91,1.82
BX,26,Yes,2108,2464,23913,5194112,0.856,0.005,11.344,9.705,0.463,0.651,0.013,0.009,1.724,4.559,0.333,0.216,1.554,2.417,2.002,1.532,1.02,-0.719,41.37,58.63,17.26
BX,27,Yes,3921,2849,44999,11170929,1.376,0.004,11.476,15.795,0.441,0.632,0.014,0.015,3.409,18.194,0.319,0.205,1.662,3.001,2.023,1.545,0.988,-0.789,38.18,61.82,23.64
BX,28,Yes,4269,5801,100706,24764469,0.736,0.004,23.59,17.36,0.443,0.625,0.013,0.009,2.702,14.165,0.253,0.15,1.842,5.139,2.029,1.545,0.977,-0.81,39.54,60.46,20.92
BX,29,Yes,2592,5488,58303,14224896,0.472,0.004,22.493,10.624,0.462,0.627,0.013,0.008,2.096,8.812,0.256,0.148,1.592,3.768,1.962,1.518,1.086,-0.582,38.81,61.19,22.38
BX,30,Yes,1411,4845,28050,6836295,0.291,0.004,19.88,5.789,0.467,0.621,0.013,0.009,3.777,35.24,0.27,0.158,1.769,4.905,1.993,1.528,1.028,-0.708,40.96,59.04,18.08
BX,31,Yes,3676,5871,86843,21581796,0.626,0.004,23.624,14.792,0.439,0.63,0.011,0.006,1.557,6.285,0.255,0.151,1.689,4.31,2.022,1.539,0.985,-0.791,38.71,61.29,22.58
BX,32,Yes,1682,2509,17735,4220138,0.67,0.004,10.544,7.069,0.46,0.628,0.011,0.007,1.928,6.176,0.326,0.213,1.618,2.698,1.957,1.515,1.089,-0.578,39.3,60.7,21.4
BX,33,Yes,4586,3049,58802,13982714,1.504,0.004,12.822,19.286,0.464,0.625,0.014,0.01,2.608,13.91,0.301,0.192,1.697,3.404,2.012,1.539,1.005,-0.752,38.57,61.43,22.86
BX,34,Yes,2003,5784,48620,11585352,0.346,0.004,24.274,8.406,0.473,0.631,0.012,0.006,1.582,4.288,0.255,0.149,1.603,3.723,1.947,1.51,1.111,-0.522,40.29,59.71,19.42
